"id1","id2","id3","id4","s10c_0","hhno"
3,1,62,62,1,103062062
3,1,62,69,1,103062069
3,1,62,78,1,103062078
3,1,62,96,1,103062096
3,1,62,144,1,103062144
3,1,62,195,1,103062195
3,1,62,199,1,103062199
3,1,62,207,1,103062207
3,1,62,235,1,103062235
3,1,62,247,1,103062247
3,1,63,24,1,103063024
3,1,63,26,1,103063026
3,1,63,27,1,103063027
3,1,63,39,1,103063039
3,1,63,41,1,103063041
3,1,63,51,1,103063051
3,1,63,53,1,103063053
3,1,63,61,1,103063061
3,1,63,85,1,103063085
3,1,63,86,1,103063086
3,1,63,89,1,103063089
3,1,63,95,1,103063095
3,1,63,101,1,103063101
3,1,63,108,1,103063108
3,1,63,111,1,103063111
3,1,64,1,1,103064001
3,1,64,2,1,103064002
3,1,64,3,1,103064003
3,1,64,4,1,103064004
3,1,64,6,1,103064006
3,1,64,9,1,103064009
3,1,64,16,1,103064016
3,1,64,27,1,103064027
3,1,64,33,1,103064033
3,1,64,36,1,103064036
3,1,64,39,1,103064039
3,1,64,44,1,103064044
3,1,64,53,1,103064053
3,1,64,69,1,103064069
3,1,64,71,1,103064071
3,1,65,11,1,103065011
3,1,65,12,1,103065012
3,1,65,15,1,103065015
3,1,65,17,1,103065017
3,1,65,23,1,103065023
3,1,65,30,1,103065030
3,1,65,47,1,103065047
3,1,65,49,1,103065049
3,1,65,50,1,103065050
3,1,65,63,1,103065063
3,1,65,64,1,103065064
3,1,65,65,1,103065065
3,1,65,66,1,103065066
3,1,65,67,1,103065067
3,1,65,72,1,103065072
3,1,66,40,1,103066040
3,1,66,47,1,103066047
3,1,66,50,1,103066050
3,1,66,55,1,103066055
3,1,66,67,1,103066067
3,1,66,70,1,103066070
3,1,66,76,1,103066076
3,1,66,79,1,103066079
3,1,66,107,1,103066107
3,1,66,108,1,103066108
3,1,66,113,1,103066113
3,1,66,117,1,103066117
3,1,66,133,1,103066133
3,1,66,142,1,103066142
3,1,66,149,1,103066149
3,1,67,1,1,103067001
3,1,67,3,1,103067003
3,1,67,22,1,103067022
3,1,67,29,1,103067029
3,1,67,37,1,103067037
3,1,67,44,1,103067044
3,1,67,46,1,103067046
3,1,67,48,1,103067048
3,1,67,49,1,103067049
3,1,67,51,1,103067051
3,1,67,53,1,103067053
3,1,67,58,1,103067058
3,1,67,67,1,103067067
3,1,67,68,1,103067068
3,1,67,69,1,103067069
