"id1","id2","id3","id4","entno","s5bii_10aii","s5bii_10bii","s5bii_10cii","s5bii_10dii","s5bii_11a","s5bii_11b","s5bii_11c","s5bii_11d","s5bii_12a","s5bii_12b","s5bii_12c","s5bii_12d","s5bii_13a","s5bii_13b","s5bii_13c","s5bii_13d","s5bii_14a","s5bii_14b","s5bii_14c","s5bii_14d","s5bii_15a","s5bii_15b","s5bii_15c","s5bii_15d","hhno"
2,2,34,73,1,2,,,,1,9,,,12,12,,,13,13,,,25,25,,,13,13,,,102034073
2,2,34,76,1,2,4,,,1,2,,,12,12,,,4,3,,,24,24,,,4,3,,,102034076
2,2,34,90,1,1,,,,1,,,,12,,,,5,,,,24,,,,5,,,,102034090
2,2,34,117,2,2,,,,1,,,,10,,,,8,,,,20,,,,8,,,,102034117
2,2,34,117,1,1,,,,1,,,,12,,,,9,,,,24,,,,9,,,,102034117
2,2,34,140,2,2,,,,1,,,,7,,,,10,,,,30,,,,10,,,,102034140
2,2,34,140,1,1,,,,1,,,,14,,,,9,,,,30,,,,9,,,,102034140
2,2,34,149,1,1,,,,1,7,9,9,10,10,10,,11,8,8,8,20,20,20,20,11,8,8,8,102034149
2,2,34,150,1,,,,,1,7,10,,3,3,,,9,9,,,25,25,20,,9,9,5,,102034150
2,2,35,1,1,1,,,,1,,,,7,,,,15,,,,30,,,,15,,,,102035001
2,2,35,2,2,2,,,,1,,,,12,,,,8,,,,24,,,,8,,,,102035002
2,2,35,2,1,1,,,,1,,,,12,12,12,,7,7,7,,24,24,24,,7,7,7,,102035002
2,2,35,14,1,2,,,,1,7,,,12,12,,,12,12,,,24,24,,,12,2,,,102035014
2,2,35,20,2,1,,,,1,10,,,6,12,,,2,10,,,12,24,,,2,10,,,102035020
2,2,35,20,1,2,,,,1,,,,14,,,,15,,,,30,,,,15,,,,102035020
2,2,35,21,1,1,-8,-8,,1,3,10,,4,4,4,,7,3,1,,28,28,28,,7,3,1,,102035021
2,2,35,27,1,1,,,,1,,,,6,,,,12,,,,24,,,,12,,,,102035027
2,2,35,28,2,2,,,,1,,,,12,,,,5,,,,24,,,,5,,,,102035028
2,2,35,28,1,1,,3,,1,9,3,9,14,14,14,14,8,8,8,8,30,30,30,30,8,8,8,8,102035028
