"id1","id2","id3","id4","s10ci","s10c_1","s10c_2","s10c_3i","s10c_3ii","s10c_4","s10c_5","s10c_6","s10c_7","s10c_8","s10c_9","s10c_10","hhno"
1,1,8,47,44,1,10,10,,1,1,1,1,1,,"CR",101008047
1,1,8,47,21,2,,,,,,,,,,"CR",101008047
1,1,8,47,78,2,,,,,,,,,,"CR",101008047
1,1,8,53,4,,,,,,,,,,,"CR",101008053
1,1,8,53,44,2,,,,,,,,,,"DK",101008053
1,1,8,53,14,1,5,77,,1,2,2,2,1,1,"3",101008053
1,1,8,53,74,2,,,,,,,,,,"DK",101008053
1,1,8,53,35,1,8,77,,1,1,2,2,1,1,"4",101008053
1,1,8,53,47,2,,,,,,,,,,"DK",101008053
1,1,8,53,60,2,,,,,,,,,,"DK",101008053
1,1,8,53,17,2,,,,,,,,,,"CR",101008053
1,1,8,53,19,1,8,77,,1,2,2,2,1,1,"1",101008053
1,1,8,53,78,2,,,,,,,,,,"DK",101008053
1,1,8,53,29,2,,,,,,,,,,"CR",101008053
1,1,8,53,67,2,,,,,,,,,,"CR",101008053
1,1,8,53,21,1,8,77,,2,2,2,2,1,1,"2",101008053
1,1,8,53,22,1,8,2,,2,,2,2,2,1,"5",101008053
1,1,8,60,53,2,,,,,,,,,,"DK",101008060
1,1,8,60,67,2,,,,,,,,,,"DK",101008060
1,1,8,60,14,2,,,,,,,,,,"DK",101008060
1,1,8,60,21,2,,,,,,,,,,"DK",101008060
1,1,8,60,35,1,10,,6,2,2,2,2,1,2,"3",101008060
1,1,8,60,17,1,10,,6,2,2,2,2,1,1,"1",101008060
1,1,8,60,19,1,10,1,,2,2,2,2,1,1,"2",101008060
1,1,8,60,22,2,,,,,,,,,,"DK",101008060
1,1,8,60,4,2,,,,,,,,,,"DK",101008060
1,1,8,60,29,1,10,1,,2,2,2,2,1,2,"4",101008060
1,1,8,60,44,2,,,,,,,,,,"DK",101008060
1,1,8,60,47,2,,,,,,,,,,"DK",101008060
1,1,8,60,74,2,,,,,,,,,,"DK",101008060
1,1,8,60,78,2,,,,,,,,,,"DK",101008060
1,1,8,67,17,1,10,10,,1,1,1,2,1,1,"CR",101008067
1,1,8,67,19,1,8,9,,1,2,2,1,1,1,"4",101008067
1,1,8,67,4,1,10,10,,1,1,2,2,1,1,"3",101008067
1,1,8,67,44,1,3,10,,1,1,1,1,1,1,"1",101008067
1,1,8,67,53,2,,,,,,,,,,"CR",101008067
1,1,8,67,47,1,8,10,,1,1,1,1,1,1,"47",101008067
1,1,8,67,78,2,,,,,,,,,,"CR",101008067
1,1,8,67,29,1,1,6,,1,1,2,2,1,1,"CR",101008067
1,1,8,67,35,1,10,5,,1,1,1,1,1,1,"5",101008067
1,1,8,67,74,1,8,8,,1,1,1,1,1,1,"2",101008067
1,1,8,67,14,2,,,,,,,,,,"CR",101008067
1,1,8,67,22,1,1,9,,1,1,1,1,1,1,"CR",101008067
1,1,8,67,21,1,1,9,,1,1,2,2,1,1,"CR",101008067
1,1,8,67,60,2,,,,,,,,,,"CR",101008067
1,1,8,74,60,2,,,,,,,,,,"DK",101008074
1,1,8,74,21,1,8,15,,2,2,2,2,1,1,"6",101008074
1,1,8,74,67,1,10,5,,2,2,2,2,1,1,"2",101008074
1,1,8,74,78,1,8,35,,1,1,2,2,1,1,"CR",101008074
1,1,8,74,14,1,8,30,,2,2,2,2,1,1,"CR",101008074
1,1,8,74,17,2,,,,,,,,,,"CR",101008074
1,1,8,74,35,2,,,,,,,,,,"CR",101008074
1,1,8,74,44,1,8,20,,2,2,2,2,1,1,"1",101008074
1,1,8,74,4,1,8,30,,1,1,2,1,1,1,"3",101008074
1,1,8,74,29,2,,,,,,,,,,"CR",101008074
1,1,8,74,47,1,10,5,,1,1,2,1,1,1,"4",101008074
1,1,8,74,22,1,8,1,,1,2,2,1,1,1,"CR",101008074
1,1,8,74,19,1,8,20,,2,2,2,1,1,1,"5",101008074
1,1,8,74,53,2,,,,,,,,,,"CR",101008074
1,1,8,78,44,1,8,77,,2,2,2,2,1,1,"CR",101008078
1,1,8,78,67,2,,,,,,,,,,"CR",101008078
1,1,8,78,47,1,10,8,,1,1,2,2,1,1,"CR",101008078
1,1,8,78,14,1,8,77,,2,2,2,2,1,1,"CR",101008078
1,1,8,78,35,2,,,,,,,,,,"CR",101008078
1,1,8,78,17,2,,,,,,,,,,"CR",101008078
1,1,8,78,22,2,,,,,,,,,,"CR",101008078
1,1,8,78,53,1,8,77,,1,1,2,2,1,1,"CR",101008078
1,1,8,78,21,1,8,77,,2,2,2,2,1,1,"CR",101008078
1,1,8,78,19,1,8,77,,1,2,2,1,1,1,"CR",101008078
1,1,8,78,4,2,,,,,,,,,,"CR",101008078
1,1,8,78,74,1,8,77,,1,1,2,2,1,1,"CR",101008078
1,1,8,78,29,2,,,,,,,,,,"CR",101008078
1,1,8,78,60,2,,,,,,,,,,"DK",101008078
1,1,31,1,24,2,,,,,,,,,,"CR",101031001
1,1,31,1,15,2,,,,,,,,,,"CR",101031001
1,1,31,1,74,2,,,,,,,,,,"CR",101031001
1,1,31,1,67,2,,,,,,,,,,"CR",101031001
