"id1","id2","id3","id4","s2a_i","hhno"
2,29,43,89,14,102043089
2,29,43,92,15,102043092
2,29,43,93,8,102043093
2,29,43,102,18,102043102
2,29,43,113,12,102043113
2,29,43,120,13,102043120
2,29,44,13,14,102044013
2,29,44,19,11,102044019
2,29,44,20,18,102044020
2,29,44,31,8,102044031
2,29,44,39,7,102044039
2,29,44,53,9,102044053
2,29,44,61,13,102044061
2,29,44,74,11,102044074
2,29,44,79,12,102044079
2,29,44,91,10,102044091
2,29,44,92,11,102044092
2,29,44,105,18,102044105
2,29,44,109,18,102044109
2,29,44,113,11,102044113
2,29,44,128,17,102044128
2,29,60,1,11,102060001
2,29,60,10,16,102060010
2,29,60,11,8,102060011
2,29,60,14,13,102060014
2,29,60,18,9,102060018
2,29,60,20,9,102060020
2,29,60,26,10,102060026
2,29,60,40,15,102060040
2,29,60,43,14,102060043
2,29,60,53,15,102060053
2,29,60,78,12,102060078
2,29,60,80,9,102060080
2,29,60,82,8,102060082
2,29,60,90,7,102060090
2,29,60,91,11,102060091
2,31,38,8,12,102038008
2,31,38,10,18,102038010
2,31,38,14,6,102038014
2,31,38,18,18,102038018
2,31,38,19,9,102038019
2,31,38,24,18,102038024
2,31,38,29,14,102038029
2,31,38,30,15,102038030
2,31,38,31,16,102038031
2,31,38,33,9,102038033
2,31,38,38,14,102038038
2,31,38,42,11,102038042
2,31,38,59,12,102038059
2,31,38,64,18,102038064
2,31,38,65,12,102038065
2,31,39,4,8,102039004
2,31,39,5,6,102039005
2,31,39,22,6,102039022
2,31,39,23,11,102039023
2,31,39,41,13,102039041
2,31,39,43,13,102039043
2,31,39,49,15,102039049
2,31,39,50,14,102039050
2,31,39,53,10,102039053
2,31,39,54,11,102039054
2,31,39,57,14,102039057
2,31,39,61,7,102039061
2,31,39,62,6,102039062
2,31,39,63,15,102039063
2,31,39,66,14,102039066
2,31,40,1,12,102040001
2,31,40,2,6,102040002
2,31,40,6,18,102040006
2,31,40,8,17,102040008
2,31,40,14,11,102040014
2,31,40,17,15,102040017
2,31,40,20,18,102040020
2,31,40,24,17,102040024
2,31,40,33,16,102040033
2,31,40,35,9,102040035
2,31,40,36,6,102040036
2,31,40,38,16,102040038
2,31,40,39,4,102040039
2,31,40,44,8,102040044
2,31,40,47,11,102040047
3,1,61,20,11,103061020
3,1,61,29,5,103061029
3,1,61,45,11,103061045
3,1,61,47,14,103061047
3,1,61,50,10,103061050
3,1,61,55,4,103061055
3,1,61,58,12,103061058
3,1,61,64,8,103061064
3,1,61,69,4,103061069
3,1,61,85,14,103061085
3,1,61,120,7,103061120
3,1,61,122,19,103061122
3,1,61,131,15,103061131
3,1,61,134,5,103061134
3,1,61,145,18,103061145
3,1,62,13,8,103062013
3,1,62,18,11,103062018
3,1,62,22,10,103062022
3,1,62,24,6,103062024
3,1,62,51,6,103062051
3,1,62,62,13,103062062
3,1,62,69,7,103062069
3,1,62,78,13,103062078
3,1,62,96,7,103062096
3,1,62,144,13,103062144
3,1,62,195,10,103062195
3,1,62,199,17,103062199
3,1,62,207,3,103062207
3,1,62,235,8,103062235
3,1,62,247,9,103062247
3,1,63,24,12,103063024
3,1,63,26,7,103063026
3,1,63,27,8,103063027
3,1,63,39,9,103063039
3,1,63,41,14,103063041
3,1,63,51,9,103063051
3,1,63,53,8,103063053
3,1,63,61,9,103063061
3,1,63,85,15,103063085
3,1,63,86,8,103063086
3,1,63,89,6,103063089
3,1,63,95,13,103063095
3,1,63,101,6,103063101
3,1,63,108,11,103063108
3,1,63,111,7,103063111
3,1,64,1,8,103064001
3,1,64,2,6,103064002
3,1,64,3,7,103064003
3,1,64,4,10,103064004
3,1,64,6,7,103064006
3,1,64,9,5,103064009
3,1,64,16,6,103064016
3,1,64,27,14,103064027
3,1,64,33,17,103064033
3,1,64,36,6,103064036
3,1,64,39,18,103064039
3,1,64,44,12,103064044
3,1,64,53,7,103064053
3,1,64,69,6,103064069
3,1,64,71,3,103064071
3,1,65,11,11,103065011
3,1,65,12,8,103065012
3,1,65,15,6,103065015
3,1,65,17,10,103065017
3,1,65,23,6,103065023
3,1,65,30,6,103065030
3,1,65,47,9,103065047
3,1,65,49,10,103065049
3,1,65,50,15,103065050
3,1,65,63,13,103065063
3,1,65,64,16,103065064
3,1,65,65,5,103065065
3,1,65,66,8,103065066
3,1,65,67,9,103065067
3,1,65,72,16,103065072
3,1,66,40,14,103066040
3,1,66,47,6,103066047
3,1,66,50,5,103066050
3,1,66,55,9,103066055
3,1,66,67,9,103066067
3,1,66,70,11,103066070
3,1,66,76,4,103066076
3,1,66,79,6,103066079
3,1,66,107,9,103066107
3,1,66,108,12,103066108
3,1,66,113,9,103066113
3,1,66,117,3,103066117
3,1,66,133,15,103066133
3,1,66,142,9,103066142
3,1,66,149,11,103066149
3,1,67,1,9,103067001
3,1,67,3,16,103067003
3,1,67,22,3,103067022
3,1,67,29,10,103067029
3,1,67,37,5,103067037
3,1,67,44,8,103067044
3,1,67,46,10,103067046
3,1,67,48,12,103067048
3,1,67,49,9,103067049
3,1,67,51,10,103067051
3,1,67,53,6,103067053
3,1,67,58,9,103067058
3,1,67,67,4,103067067
3,1,67,68,8,103067068
