"id1","id2","id3","id4","entno","s5c_29i","s5c_29ii","s5c_29iii","s5c_29iva","s5c_29ivb","s5c_29va","s5c_29vb","s5c_30i","s5c_30iia","s5c_30iib","s5c_31i","s5c_31ii","s5c_31iii","s5c_31iva","s5c_31ivb","s5c_31va","s5c_31vb","s5c_32i","s5c_32iia","s5c_32iib","s5c_33i","s5c_33ii","s5c_33iii","s5c_33iva","s5c_33ivb","s5c_33va","s5c_33vb","s5c_34i","s5c_34iia","s5c_34iib","s5c_35i","s5c_35iia","s5c_35iib","s5c_36i","s5c_36ii","s5c_36iii","s5c_36iva","s5c_36ivb","s5c_36va","s5c_36vb","s5c_37i","s5c_37iia","s5c_37iib","s5c_38i","s5c_38iia","s5c_38iib","s5c_39i","s5c_39ii","s5c_39iii","s5c_39iva","s5c_39ivb","s5c_39va","s5c_39vb","s5c_40i","s5c_40ii","s5c_40iii","s5c_40iva","s5c_40ivb","s5c_40va","s5c_40vb","s5c_41i","s5c_41ii","s5c_41iii","s5c_41iva","s5c_41ivb","s5c_41va","s5c_41vb","s5c_42i","s5c_42ii","s5c_42iii","s5c_42iva","s5c_42ivb","s5c_42va","s5c_42vb","hhno"
1,8,14,69,2,489,1,19,25,,25,,6,150,,,,,,,,,,,,228,12,19,16,66,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,5,19,25,,125,,,,,,,,,101014069
1,8,14,82,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014082
1,8,14,113,1,288,3,33,8,0,24,0,11,90,,288,,,,,,,,,,289,7,38,,90,5,60,33,29,70,40,36,0,1297,3,38,0,60,1,80,6,3,60,9,5,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014113
1,8,14,129,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014129
1,8,14,129,2,489,,6,5,,,,30,120,,1238,,19,15,,,,,,,1287,,19,15,,,,,,,16,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014129
1,8,15,65,1,19,,42,40,,,,11,440,,,,,,,,,,,,1314,6,42,13,30,80,,,,,,,,,,,,,,,,,,,,,19,6,42,13,30,80,,,,,,,,,,,,,,,,,,,,,,,101015065
1,8,15,65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101015065
1,8,15,119,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101015119
1,8,15,120,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101015120
1,8,15,188,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101015188
1,8,16,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016041
1,8,16,51,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016051
1,8,16,51,1,1245,0,37,,20,,,7200,1440,,,,,,,,,,,,447,0,18,62,,,,,,,,496,,1088,,19,31,60,,,0,,,4,126,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016051
