Date,AORD
2002-12-02,2990.699951
2002-12-09,2941.199951
2002-12-16,2978.800049
2002-12-23,2991.399902
2002-12-30,3025.699951
2003-01-06,3035
2003-01-13,3024.699951
2003-01-20,3000.100098
2003-01-27,2935.399902
2003-02-03,2886.100098
2003-02-10,2804.399902
2003-02-17,2804.399902
2003-02-24,2778.399902
2003-03-03,2715
2003-03-10,2724.199951
2003-03-17,2839.399902
2003-03-24,2861.199951
2003-03-31,2896.300049
2003-04-07,2908.300049
2003-04-14,2917
2003-04-21,2961.699951
2003-04-28,2941
2003-05-05,2928.199951
2003-05-12,2924.399902
2003-05-19,2966.300049
2003-05-26,2979.800049
2003-06-02,3018.100098
2003-06-09,3053.399902
2003-06-16,3055.199951
2003-06-23,3018
2003-06-30,3000.800049
2003-07-07,3022.800049
2003-07-14,3064.899902
2003-07-21,3081.300049
2003-07-28,3126
2003-08-04,3135.699951
2003-08-11,3142.800049
2003-08-18,3180.399902
2003-08-25,3202.899902
2003-09-01,3220.100098
2003-09-08,3195.199951
2003-09-15,3223.399902
2003-09-22,3175.699951
2003-09-29,3205.699951
2003-10-06,3266.199951
2003-10-13,3301.399902
2003-10-20,3266.199951
2003-10-27,3282.399902
2003-11-03,3265.5
2003-11-10,3215.399902
2003-11-17,3175.300049
2003-11-24,3195.699951
2003-12-01,3232.100098
2003-12-08,3216.300049
2003-12-15,3238.5
2003-12-22,3271
2003-12-29,3309.800049
2004-01-05,3307.100098
2004-01-12,3298.100098
2004-01-19,3346.199951
2004-01-26,3283.600098
2004-02-02,3285
2004-02-09,3347.800049
2004-02-16,3359.5
2004-02-23,3372.5
2004-03-01,3416.300049
2004-03-08,3402.100098
2004-03-15,3429.800049
2004-03-22,3424.199951
2004-03-29,3437.399902
2004-04-05,3456.600098
2004-04-12,3424.300049
2004-04-19,3461.5
2004-04-26,3407.699951
2004-05-03,3401.199951
2004-05-10,3366.800049
2004-05-17,3394.199951
2004-05-24,3447.300049
2004-05-31,3466.600098
2004-06-07,3478.100098
2004-06-14,3523.300049
2004-06-21,3523
2004-06-28,3531.5
2004-07-05,3558.899902
