"id1","id3","id4","id2","s12a_1","s12a_2i","s12a_2ii","s12a_2iii","s12a_3","s12a_4i","s12a_4ii","s12a_4iii","s12a_5","s12a_6","s12a_7i","s12a_7ii","s12a_7iii","s12a_8i","s12a_8ii","s12a_8iii","s12a_9i","s12a_9ii","s12a_10ai","s12a_10aii","s12a_10bi","s12a_10bii","s12a_11","s12a_11ii","s12a_11iii","s12a_12i","s12a_12ii","s12a_13i","s12a_13ii","s12a_14","s12a_15","s12a_15i","s12a_16","s12a_17","s12a_18i","s12a_18ii","s12a_18iii","s12a_19i","s12a_19ii","s12a_20","s12a_21i","s12a_21ii","s12a_22","s12a_23i","s12a_23ii","s12a_23iii","s12a_24","s12a_25","s12a_26i","s12a_26ii","s12a_26iii","s12a_27","s12a_28","s12a_29i","s12a_29ii","s12a_29iii","s12a_30","s12a_31","s12a_32","s12a_33i","s12a_33ii","s12a_33iii","s12a_33iv","s12a_33v","s12a_33vi","s12a_35","s12a_36","hhno"
7,247,14,114,2,,,,,,,,,,,,,,,,7,7,100,2,100,2,15,,,1,1,4,3,2,,,2,2,,,,2,80,2,,,1,2,50,3,2,2,,,,,5,,15,1,6,4,3,2,1,2,2,2,2,1,12.05,107247014
8,299,137,10,2,,,,,,,,,,,,,40,,6,7,7,30,2,30,2,1,,,1,1,5,,2,,,4,2,,,,1,,2,,,1,2,0,3,3,2,,,,,5,0,10,1,6,4,3,2,1,2,2,2,2,1,14.4,108299137
6,213,25,10,1,10,0,3,2,,,,3,,,,,,,,2,2,,,,,,2,,1,1,4,3,2,"8",,7,1,2,0,3,,,2,,,1,4,0,3,4,2,,,,1,3,,,,6,4,3,2,1,2,2,2,2,2,10.8,106213025
3,86,24,1,2,,,,,,,,,,,,,,,0,2,2,,0,,0,,,,,1,13,3,2,,,4,1,3,50,3,,,2,,,1,4,0,,3,2,,,,,3,,,,1,4,3,2,1,2,2,2,2,2,234.1,103086024
3,69,50,1,1,84,,6,2,,,,3,,,,,,,,8,6,1,1,1,1,20,,,24,1,2,3,2,,,4,2,,,,2,50,2,,,1,25,0,3,1,1,,20,1,,5,,10,1,2,4,5,2,1,2,2,2,2,1,20.16,103069050
3,70,10,1,2,,,,,,,,,,,,,45,,6,8,5,1,1,1,1,,,3,24,1,1,3,2,,,4,2,,,,3,,2,,,1,6,0,3,1,1,1,,2,,5,,10,1,6,4,3,2,1,2,2,2,2,1,43.2,103070010
4,102,29,3,2,,,,,,,,,,,,,0,,,7,7,300,2,300,2,20,,,1,1,5,3,2,,,2,2,,,,2,,2,,,2,0,0,,3,2,,,,,3,,,,1,4,3,2,2,2,2,2,2,,,104102029
1,2,52,6,2,,,,,,,,,,,,,,,,6,6,100,2,100,2,10,,,5,2,5,3,2,,,4,2,,,,2,,2,,,1,4,0,3,3,2,,,,,6,,,,6,4,3,2,1,2,2,2,2,2,10.0282,101002052
1,31,75,1,1,1,,,2,,,,3,,,,,0,,0,9,9,50,2,50,2,,2,,1,1,7,3,2,,,3,2,,,,2,80,2,,,1,5,0,,3,2,,,,,2,,,,6,4,3,2,1,2,2,2,2,2,20,101031075
6,201,17,102,2,,,,,,,,,,,,,,,,6,11,30,2,100,2,13,,,4,2,2,3,2,,,4,2,,,,5,,2,,,1,0,0,,3,2,,,,,2,,,,6,4,3,2,1,2,2,2,2,2,12.13,106201017
