"id1","id2","id3","id4","s9c_ii","s9c_c1","s9c_c2","s9c_c3","s9c_c4","s9c_c5","s9c_c6","s9c_c7","s9c_c8","s9c_c9","s9c_c10","s9c_c11","s9c_c12","hhno"
1,10,21,69,5,"E","F","B","B","C","A","E","B","C","B","C","D",101021069
1,10,21,69,6,"E","D","B","D","C","B","E","B","C","A","A","D",101021069
1,10,27,4,4,"E","A","B","B","F","A","E","B","C","F","F","F",101027004
1,10,27,4,5,"E","B","B","E","C","C","E","B","B","A","E","E",101027004
1,10,27,4,3,"E","F","E","D","C","A","E","B","C","B","C","D",101027004
1,10,27,9,6,"E","D","E","B","C","A","E","B","C","F","A","E",101027009
1,10,27,9,5,"E","F","A","D","C","D","E","B","C","A","F","F",101027009
1,10,27,9,7,"B","B","C","E","B","C","E","C","A","B","C","E",101027009
1,10,27,9,4,"E","F","E","D","C","A","E","B","C","B","C","D",101027009
1,10,27,10,2,"B","B","E","B","B","B","E","B","F","F","F","F",101027010
1,10,27,11,3,"E","A","E","B","C","B","E","B","C","A","A","D",101027011
1,10,27,11,2,"E","F","B","D","C","A","E","B","C","B","C","D",101027011
1,10,27,11,4,"E","F","B","B","F","A","E","B","B","B","F","C",101027011
1,10,27,13,5,"E","D","A","D","C","B","E","B","C","B","F","E",101027013
1,10,27,13,4,"E","F","E","D","C","A","E","B","C","B","C","F",101027013
1,10,27,13,6,"E","F","E","B","C","A","E","B","C","A","E","E",101027013
1,10,27,20,5,"E","B","B","B","C","C","E","B","C","F","F","D",101027020
1,10,27,20,4,"E","F","A","D","C","B","E","B","C","A","C","F",101027020
1,10,27,20,3,"E","F","E","D","C","A","E","B","C","B","C","D",101027020
1,10,27,23,5,"E","F","A","D","C","A","E","B","C","B","F","F",101027023
1,10,27,23,4,"E","F","E","B","C","A","E","B","C","B","C","E",101027023
1,10,27,31,3,"E","B","B","E","C","C","E","B","B","F","F","E",101027031
1,12,29,2,3,"E","E","B","E","E","E","E","B","E","E","A","C",101029002
1,12,29,4,4,"E","B","E","E","E","A","E","B","E","E","B","E",101029004
1,12,29,4,3,"E","E","E","B","E","C","B","E","E","E","E","B",101029004
1,12,29,6,7,"E","E","C","C","E","E","E","E","E","F","B","E",101029006
1,12,29,6,5,"E","E","B","C","E","A","E","B","E","B","E","C",101029006
1,12,29,6,6,"B","E","E","E","E","C","B","B","E","E","D","E",101029006
