"id1","id2","id3","id4","fuel_id","itemname","s11d_1","s11d_a","s11d_b","s11d_c","s11d_d","s11d_e","s11d_f","hhno"
1,1,3,9,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101003009
1,1,3,9,1,"ELECTRICITY",12,5,,,,60,,101003009
1,1,3,9,10,"RUBBISH/PLASTIC",,,,,,,,101003009
1,1,3,9,3,"KEROSENE",,,,,,,,101003009
1,1,3,9,7,"DIESEL",,,,,,,,101003009
1,1,3,9,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101003009
1,1,3,9,6,"PETROL",,,,,,,,101003009
1,1,3,9,4,"CHARCOAL",,,,,,,,101003009
1,1,3,9,5,"FIREWOOD",12,5,,60,,,,101003009
1,1,3,9,8,"DUNG CAKE",,,,,,,,101003009
1,1,3,11,10,"RUBBISH/PLASTIC",,,,,,,,101003011
1,1,3,11,4,"CHARCOAL",3,1,20,,,3,60,101003011
1,1,3,11,6,"PETROL",,,,,,,,101003011
1,1,3,11,3,"KEROSENE",12,2,,,,24,,101003011
1,1,3,11,8,"DUNG CAKE",,,,,,,,101003011
1,1,3,11,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101003011
1,1,3,11,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101003011
1,1,3,11,7,"DIESEL",,,,,,,,101003011
1,1,3,11,5,"FIREWOOD",12,6,,72,,,,101003011
1,1,3,11,1,"ELECTRICITY",12,1,50,,,18,,101003011
1,1,3,12,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101003012
1,1,3,12,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101003012
1,1,3,12,1,"ELECTRICITY",12,7,,,,84,,101003012
1,1,3,12,8,"DUNG CAKE",,,,,,,,101003012
1,1,3,12,7,"DIESEL",,,,,,,,101003012
1,1,3,12,6,"PETROL",,,,,,,,101003012
1,1,3,12,10,"RUBBISH/PLASTIC",,,,,,,,101003012
1,1,3,12,4,"CHARCOAL",,,,,,,,101003012
1,1,3,12,3,"KEROSENE",6,2,,,,12,,101003012
1,1,3,12,5,"FIREWOOD",12,4,,48,,,,101003012
1,1,3,13,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101003013
1,1,3,13,4,"CHARCOAL",6,30,,,,240,,101003013
1,1,3,13,6,"PETROL",,,,,,,,101003013
1,1,3,13,5,"FIREWOOD",12,4,,9,,48,,101003013
1,1,3,13,8,"DUNG CAKE",,,,,,,,101003013
1,1,3,13,10,"RUBBISH/PLASTIC",,,,,,,,101003013
1,1,3,13,7,"DIESEL",,,,,,,,101003013
1,1,3,13,3,"KEROSENE",12,2,80,,,33,,101003013
1,1,3,13,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101003013
1,1,3,13,1,"ELECTRICITY",,,,,,,,101003013
1,1,3,15,2,"GAS FOR HOUSEHOLD USE",12,2,50,,,30,,101003015
1,1,3,15,5,"FIREWOOD",12,5,,,,60,,101003015
1,1,3,15,7,"DIESEL",,,,,,,,101003015
1,1,3,15,10,"RUBBISH/PLASTIC",,,,,,,,101003015
1,1,3,15,4,"CHARCOAL",,,,,,,,101003015
1,1,3,15,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101003015
1,1,3,15,1,"ELECTRICITY",,,,,,,,101003015
1,1,3,15,6,"PETROL",,,,,,,,101003015
1,1,3,15,3,"KEROSENE",4,2,,,,8,,101003015
1,1,3,15,8,"DUNG CAKE",,,,,,,,101003015
1,1,3,20,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101003020
1,1,3,20,8,"DUNG CAKE",,,,,,,,101003020
1,1,3,20,10,"RUBBISH/PLASTIC",,,,,,,,101003020
1,1,3,20,7,"DIESEL",,,,,,,,101003020
1,1,3,20,4,"CHARCOAL",,,,,,,,101003020
1,1,3,20,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101003020
1,1,3,20,5,"FIREWOOD",12,2,,,,24,,101003020
1,1,3,20,6,"PETROL",,,,,,,,101003020
1,1,3,20,1,"ELECTRICITY",,,,,,,,101003020
1,1,3,20,3,"KEROSENE",12,3,,,,36,,101003020
1,1,3,26,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101003026
1,1,3,26,10,"RUBBISH/PLASTIC",,,,,,,,101003026
1,1,3,26,1,"ELECTRICITY",,,,,,,,101003026
1,1,3,26,3,"KEROSENE",3,,50,,,1,5,101003026
1,1,3,26,5,"FIREWOOD",12,4,,48,,624,,101003026
1,1,3,26,7,"DIESEL",,,,,,,,101003026
1,1,3,26,8,"DUNG CAKE",,,,,,,,101003026
1,1,3,26,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101003026
1,1,3,26,6,"PETROL",,,,,,,,101003026
1,1,3,26,4,"CHARCOAL",,,,,,,,101003026
1,1,3,32,3,"KEROSENE",,,,,,,,101003032
1,1,3,32,10,"RUBBISH/PLASTIC",,,,,,,,101003032
1,1,3,32,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101003032
1,1,3,32,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101003032
1,1,3,32,6,"PETROL",,,,,,,,101003032
1,1,3,32,1,"ELECTRICITY",12,1,50,,,18,,101003032
1,1,3,32,8,"DUNG CAKE",,,,,,,,101003032
1,1,3,32,5,"FIREWOOD",12,2,,36,,,,101003032
1,1,3,32,4,"CHARCOAL",,,,,,,,101003032
1,1,3,32,7,"DIESEL",,,,,,,,101003032
1,1,3,37,6,"PETROL",,,,,,,,101003037
1,1,3,37,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101003037
1,1,3,37,8,"DUNG CAKE",,,,,,,,101003037
1,1,3,37,4,"CHARCOAL",,,,,,,,101003037
1,1,3,37,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101003037
1,1,3,37,3,"KEROSENE",6,,75,,,4,50,101003037
1,1,3,37,7,"DIESEL",,,,,,,,101003037
1,1,3,37,5,"FIREWOOD",12,3,,30,,,,101003037
1,1,3,37,10,"RUBBISH/PLASTIC",,,,,,,,101003037
1,1,3,37,1,"ELECTRICITY",12,2,,,,24,,101003037
1,1,3,40,8,"DUNG CAKE",,,,,,,,101003040
1,1,3,40,6,"PETROL",,,,,,,,101003040
1,1,3,40,4,"CHARCOAL",,,,,,,,101003040
