"id1","id2","id3","id4","s9b1_ii","s9b1_iii","s9b1_iv","s9b1_b1a","s9b1_b1b","s9b1_b1c","s9b1_b2a","s9b1_b2b","s9b1_b2c","s9b1_b3a","s9b1_b3b","s9b1_b3c","s9b1_b4a","s9b1_b4b","s9b1_b4c","s9b1_b5a","s9b1_b5b","s9b1_b5c","s9b1_b6a","s9b1_b6b","s9b1_b6c","s9b1_b7a","s9b1_b7b","s9b1_b7c","s9b1_b8a","s9b1_b8b","s9b1_9i","s9b1_9ii","hhno"
1,5,4,32,4,5,30,1,1,2,1,1,2,1,1,2,1,2,2,1,2,2,1,1,2,2,2,1,,,5,32,101004032
1,6,1,12,3,11,50,1,1,2,1,1,2,1,2,1,,,,,,,,,,,,,,,11,53,101001012
1,6,1,15,5,1,12,2,1,1,,,,,,,,,,,,,,,,,,,,,1,16,101001015
1,6,1,15,3,12,44,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,,,,,,,,,12,56,101001015
1,6,1,15,4,1,1,1,1,2,1,1,2,1,1,2,1,2,1,,,,,,,,,,,,1,10,101001015
1,6,1,15,6,1,17,2,1,1,,,,,,,,,,,,,,,,,,,,,1,18,101001015
1,6,1,23,3,1,0,1,1,2,1,1,2,1,1,2,1,2,1,,,,,,,,,,,,1,2,101001023
1,6,1,24,3,18,5,1,1,2,1,1,2,1,1,2,1,2,1,,,,,,,,,,,,18,10,101001024
1,6,1,24,4,18,12,1,1,2,1,1,2,1,1,2,1,2,1,,,,,,,,,,,,18,15,101001024
1,6,1,34,6,5,56,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,6,0,101001034
1,6,1,34,8,6,12,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,,,,18,17,101001034
1,6,1,34,7,6,6,2,1,1,,,,,,,,,,,,,,,,,,,,,6,8,101001034
1,6,1,34,5,5,45,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,,,,5,49,101001034
1,6,1,35,3,3,15,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,3,18,101001035
1,6,1,35,6,3,30,2,2,1,,,,,,,,,,,,,,,,,,,,,3,31,101001035
1,6,1,35,5,3,26,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,3,28,101001035
1,6,1,35,4,3,22,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,3,24,101001035
1,6,2,23,3,14,20,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,14,23,101002023
1,6,2,28,5,10,9,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,10,15,101002028
1,6,2,28,6,10,17,2,1,2,1,1,2,1,2,2,2,2,1,,,,,,,,,,,,10,20,101002028
1,6,2,28,4,10,3,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,10,7,101002028
1,6,2,37,2,14,43,2,2,1,,,,,,,,,,,,,,,,,,,,,14,45,101002037
1,8,13,8,3,2,30,1,1,2,1,1,2,1,1,2,2,1,2,2,2,,,,,,,,,,2,35,101013008
1,8,13,20,4,2,5,2,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,,,,2,10,101013020
1,8,13,28,4,10,0,2,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,10,5,101013028
1,8,13,28,3,9,35,1,1,2,2,1,2,1,1,2,1,2,2,2,2,1,,,,,,,,,9,40,101013028
1,8,13,32,3,9,32,2,2,1,,,,,,,,,,,,,,,,,,,,,9,35,101013032
1,8,13,36,4,1,30,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,1,35,101013036
1,8,13,36,5,2,0,2,1,2,1,1,2,1,2,2,1,1,2,2,2,1,,,,,,,,,2,5,101013036
1,8,13,48,3,4,36,2,2,1,,,,,,,,,,,,,,,,,,,,,4,37,101013048
1,8,13,66,2,10,33,2,2,1,,,,,,,,,,,,,,,,,,,,,10,35,101013066
1,8,13,103,4,4,0,2,2,,,,,,,,,,,,,,,,,,,,,,4,5,101013103
1,8,13,103,3,3,25,1,1,,1,1,,1,1,,1,2,,1,1,,2,2,,,,,,,3,30,101013103
1,8,14,15,6,8,45,2,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,,,,8,47,101014015
1,8,14,15,5,6,53,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,,,,6,55,101014015
1,8,14,22,3,7,24,2,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,,,,7,26,101014022
1,8,14,22,4,7,38,2,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,,,,7,40,101014022
1,8,14,46,7,3,38,2,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,,,,3,40,101014046
1,8,14,46,6,3,23,2,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,,,,3,25,101014046
